result_id,fighter_name,fight_id,elo_before,elo_after
1,Luigi,1,1500.0,1512.0
2,Ganondorf,1,1500.0,1488.0
3,ROB,2,1500.0,1512.0
4,Lucario,2,1500.0,1488.0
5,Wario,3,1500.0,1512.0
6,Ike,3,1500.0,1488.0
7,Snake,4,1500.0,1512.0
8,Falco,4,1500.0,1488.0
9,Mario,5,1500.0,1494.0
10,DK,5,1500.0,1494.0
11,King Dedede,5,1500.0,1512.0
12,Marth,6,1500.0,1512.0
13,Olimar,6,1500.0,1488.0
14,Yoshi,7,1500.0,1488.0
15,Diddy Kong,7,1500.0,1512.0
16,Pit,8,1500.0,1488.0
17,Ice Climbers,8,1500.0,1512.0
18,Peach,9,1500.0,1494.0
19,Zelda,9,1500.0,1494.0
20,Ness,9,1500.0,1506.0
21,Lucas,9,1500.0,1506.0
22,Link,10,1500.0,1512.0
23,Bowser,10,1500.0,1496.0
24,Meta Knight,10,1500.0,1496.0
25,Captain Falcon,10,1500.0,1496.0
26,Ganondorf,11,1488.0,1500.28
27,DK,11,1494.0,1481.72
28,Ike,12,1488.0,1477.1
29,King Dedede,12,1512.0,1522.9
30,Samus,13,1500.0,1512.55
31,Snake,13,1512.0,1499.45
32,Pokemon Trainer,14,1500.0,1494.14
33,Lucario,14,1488.0,1482.14
34,ROB,14,1512.0,1517.86
35,Falco,14,1488.0,1493.86
36,Pikachu,15,1500.0,1488.55
37,Luigi,15,1512.0,1523.45
38,Luigi,16,1523.45,1533.83
39,Olimar,16,1488.0,1477.62
40,Yoshi,17,1488.0,1476.37
41,Bowser,17,1496.0,1507.63
42,Marth,18,1512.0,1500.0
43,Diddy Kong,18,1512.0,1524.0
44,Zelda,19,1494.0,1482.55
45,Ness,19,1506.0,1517.45
46,Kirby,20,1500.0,1511.82
47,Meta Knight,20,1496.0,1484.18
48,Ganondorf,21,1500.28,1511.22
49,Ike,21,1477.1,1466.16
50,Pokemon Trainer,22,1494.14,1481.57
51,DK,22,1481.72,1494.29
52,Snake,23,1499.45,1510.65
53,Lucario,23,1482.14,1470.94
54,Wario,24,1512.0,1524.27
55,ROB,24,1517.86,1505.59
56,Samus,25,1512.55,1523.7
57,Mario,25,1494.0,1482.85
58,Bowser,26,1507.63,1518.25
59,Olimar,26,1477.62,1467.0
60,Fox,27,1500.0,1512.55
61,Ice Climbers,27,1512.0,1499.45
62,Yoshi,28,1476.37,1489.09
63,Pit,28,1488.0,1481.73
64,Captain Falcon,28,1496.0,1489.55
65,Lucas,29,1506.0,1499.46
66,Ness,29,1517.45,1510.91
67,Mario,29,1482.85,1489.39
68,Peach,29,1494.0,1500.54
69,Link,30,1512.0,1498.72
70,Meta Knight,30,1484.18,1497.46
71,Pokemon Trainer,31,1481.57,1488.11
72,Lucario,31,1470.94,1477.48
73,ROB,31,1505.59,1499.05
74,Falco,31,1493.86,1487.32
75,Link,32,1498.72,1493.05
76,Zelda,32,1482.55,1476.88
77,Lucas,32,1499.46,1505.13
78,Ness,32,1510.91,1516.58
79,Fox,33,1512.55,1523.47
80,Yoshi,33,1489.09,1478.17
